특성별,구분,가구수,이유1,이유2,이유3,이유4
한부모 연령별,30대 이하,27,66.8,20.5,0,12.8
한부모 연령별,40대,3,23.6,0,46.1,30.3
한부모 연령별,중졸 이상,1,100.0,0,0,0
한부모 학력별,고졸 이하,13,67.2,10.5,10.5,11.9
한부모 학력별,대학 이상,17,58.1,25.1,0,16.8
한부모 학력별,이혼,23,63.3,20.3,5.9,10.5
혼인 상태별,사별,2,40.1,59.9,0,0
혼인 상태별,기타,6,66.5,0,0,33.5
혼인 상태별,모자,13,41.8,30.5,9.9,17.8
가구 구성별,모자+기타,11,82.3,0,0,17.7
가구 구성별,부자+기타,6,72.7,27.3,0,0
종사상 지위별,상용근로자,4,65.2,34.8,0,0
종사상 지위별,임시/일용근로자,1,31.7,68.3,0,0
종사상 지위별,자영업/무급가족,1,100.0,0,0,0
종사상 지위별,비취업,24,63.0,13.3,5.5,18.2
정부 지원 유형별,저소득지원가구,17,59.7,23.2,8.0,9.1
정부 지원 유형별,일반가구,14,66.2,12.8,0,21.0
소득 수준별,100만원 미만,3,58.7,0,41.3,0
소득 수준별,100만원 이상,11,50.0,36.5,0,13.5
소득 수준별,200만원 이상,2,20.9,79.1,0,0
소득 수준별,300만원 이상,14,79.5,0,0,20.5
한부모가된 기간별,5년 미만,27,65.3,13.7,4.9,16.1
한부모가된 기간별,5년 이상,3,26.5,73.5,0,0
한부모가된 기간별,10년 이상,1,100.0,0,0,0